Plot	Plot_bexis	Function_Name	Function_Year	Value	Year	Dataset_ID	Dataset_Version
SEW25	SEW25	aboveground_biomass	aboveground_biomass	211.8288743	4444	4444	4444
SEW29	SEW29	aboveground_biomass	aboveground_biomass	235.0401587	4444	4444	4444
AEW20	AEW20	aboveground_biomass	aboveground_biomass	333.6409577	4444	4444	4444
AEW50	AEW50	aboveground_biomass	aboveground_biomass	312.791392	4444	4444	4444
AEW38	AEW38	aboveground_C	aboveground_C	49.8807299	4444	4444	4444
HEW26	HEW26	aboveground_C	aboveground_C	171.230206	4444	4444	4444
AEW01	AEW1	aboveground_C	aboveground_C	120.4228673	4444	4444	4444
HEW32	HEW32	aboveground_C	aboveground_C	108.1074216	4444	4444	4444
AEW06	AEW6	aboveground_C	aboveground_C	124.1304189	4444	4444	4444
HEW24	HEW24	aboveground_C	aboveground_C	188.5262261	4444	4444	4444
HEW27	HEW27	aboveground_C	aboveground_C	142.8291857	4444	4444	4444
AEW08	AEW8	aboveground_C	aboveground_C	179.1872389	4444	4444	4444
SEW08	SEW8	aboveground_C	aboveground_C	250.241019	4444	4444	4444
AEW25	AEW25	aboveground_C	aboveground_C	34.37793391	4444	4444	4444
HEW46	HEW46	aboveground_C	aboveground_C	177.5499707	4444	4444	4444
SEW38	SEW38	aboveground_C	aboveground_C	137.9135514	4444	4444	4444
SEW24	SEW24	aboveground_C	aboveground_C	113.2000339	4444	4444	4444
AEW11	AEW11	aboveground_C	aboveground_C	168.0544887	4444	4444	4444
AEW17	AEW17	aboveground_C	aboveground_C	107.3195797	4444	4444	4444
SEW44	SEW44	aboveground_C	aboveground_C	119.1412356	4444	4444	4444
SEW43	SEW43	aboveground_C	aboveground_C	141.3827408	4444	4444	4444
HEW28	HEW28	aboveground_C	aboveground_C	153.4296735	4444	4444	4444
HEW23	HEW23	aboveground_C	aboveground_C	45.63907131	4444	4444	4444
HEW33	HEW33	aboveground_C	aboveground_C	169.3287205	4444	4444	4444
HEW16	HEW16	aboveground_C	aboveground_C	78.57469325	4444	4444	4444
HEW02	HEW2	aboveground_C	aboveground_C	113.6283253	4444	4444	4444
SEW42	SEW42	aboveground_C	aboveground_C	111.7386402	4444	4444	4444
AEW07	AEW7	aboveground_C	aboveground_C	166.7492201	4444	4444	4444
AEW04	AEW4	aboveground_C	aboveground_C	92.08664689	4444	4444	4444
HEW25	HEW25	aboveground_C	aboveground_C	117.9175358	4444	4444	4444
HEW15	HEW15	aboveground_C	aboveground_C	53.57572749	4444	4444	4444
AEW03	AEW3	aboveground_C	aboveground_C	137.4188758	4444	4444	4444
SEW10	SEW10	aboveground_C	aboveground_C	66.37841995	4444	4444	4444
HEW47	HEW47	aboveground_C	aboveground_C	203.5690703	4444	4444	4444
HEW03	HEW3	aboveground_C	aboveground_C	130.6427422	4444	4444	4444
AEW05	AEW5	aboveground_C	aboveground_C	131.4778339	4444	4444	4444
AEW39	AEW39	aboveground_C	aboveground_C	105.3598949	4444	4444	4444
HEW30	HEW30	aboveground_C	aboveground_C	138.902555	4444	4444	4444
AEW29	AEW29	aboveground_C	aboveground_C	119.774112	4444	4444	4444
SEW39	SEW39	aboveground_C	aboveground_C	109.4872822	4444	4444	4444
HEW22	HEW22	aboveground_C	aboveground_C	194.7843692	4444	4444	4444
AEW28	AEW28	aboveground_C	aboveground_C	116.7052109	4444	4444	4444
AEW18	AEW18	aboveground_C	aboveground_C	142.1966706	4444	4444	4444
SEW48	SEW48	aboveground_C	aboveground_C	161.459507	4444	4444	4444
HEW48	HEW48	aboveground_C	aboveground_C	175.4015847	4444	4444	4444
AEW27	AEW27	aboveground_C	aboveground_C	46.88849907	4444	4444	4444
SEW47	SEW47	aboveground_C	aboveground_C	201.2906108	4444	4444	4444
AEW26	AEW26	aboveground_C	aboveground_C	36.5593143	4444	4444	4444
AEW33	AEW33	aboveground_C	aboveground_C	97.94281617	4444	4444	4444
AEW16	AEW16	aboveground_C	aboveground_C	52.89584828	4444	4444	4444
SEW46	SEW46	aboveground_C	aboveground_C	241.3213984	4444	4444	4444
AEW46	AEW46	aboveground_C	aboveground_C	112.5919959	4444	4444	4444
AEW36	AEW36	aboveground_C	aboveground_C	77.34671188	4444	4444	4444
AEW15	AEW15	aboveground_C	aboveground_C	26.99457421	4444	4444	4444
SEW25	SEW25	aboveground_C	aboveground_C	100.0624492	4444	4444	4444
HEW45	HEW45	aboveground_C	aboveground_C	73.54755493	4444	4444	4444
AEW14	AEW14	aboveground_C	aboveground_C	148.306363	4444	4444	4444
